YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE
2023,2,4,6,2/4/2023 0:00,OO,20304,N188SY,3441,10713,1071302,30713,BOI,"Boise, ID",ID,Idaho,14893,1489302,33192,SMF,"Sacramento, CA",CA,California,1935,1924,-11,0,0,1900-1959,18,1942,2000,5,2007,2005,-2,0,0,0,92,101,78,1,437
2023,2,1,3,2/1/2023 0:00,DL,19790,N982AT,2785,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,15016,1501606,31123,STL,"St. Louis, MO",MO,Missouri,2040,2035,-5,0,0,2000-2059,13,2048,2110,4,2132,2114,-18,0,0,0,112,99,82,1,440
2023,2,6,1,2/6/2023 0:00,AA,19805,N177XF,1027,11003,1100303,31003,CID,"Cedar Rapids/Iowa City, IA",IA,Iowa,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1920,1900,-20,0,0,1900-1959,12,1912,2058,17,2145,2115,-30,0,0,0,145,135,106,1,685
2023,2,1,3,2/1/2023 0:00,OO,20304,N708EV,3060,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,12915,1291503,31205,LCH,"Lake Charles, LA",LA,Louisiana,2115,,,,,2100-2159,,,,,2231,,,,,1,76,,,1,295
2023,2,6,1,2/6/2023 0:00,OO,20304,N289SY,3913,12156,1215605,32156,HLN,"Helena, MT",MT,Montana,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,Utah,600,548,-12,0,0,0600-0659,15,603,705,16,740,721,-19,0,0,0,100,93,62,1,402
2023,2,4,6,2/4/2023 0:00,B6,20409,N703JB,1197,14307,1430706,30721,PVD,"Providence, RI",RI,Rhode Island,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,Florida,600,844,164,164,1,0600-0659,10,854,1145,9,916,1154,158,158,1,0,196,190,171,1,1188
2023,2,6,1,2/6/2023 0:00,OO,20304,N309SY,4006,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,Utah,14262,1426204,34262,PSP,"Palm Springs, CA",CA,California,1520,1521,1,1,0,1500-1559,23,1544,1601,4,1611,1605,-6,0,0,0,111,104,77,1,541
2023,2,5,7,2/5/2023 0:00,HA,19690,N489HA,341,12402,1240203,32402,ITO,"Hilo, HI",HI,Hawaii,12173,1217305,32134,HNL,"Honolulu, HI",HI,Hawaii,1640,1636,-4,0,0,1600-1659,8,1644,1719,13,1735,1732,-3,0,0,0,55,56,35,1,216
2023,2,6,1,2/6/2023 0:00,WN,19393,N8578Q,1395,12892,1289208,32575,LAX,"Los Angeles, CA",CA,California,13796,1379609,32457,OAK,"Oakland, CA",CA,California,1505,1501,-4,0,0,1500-1559,9,1510,1605,4,1625,1609,-16,0,0,0,80,68,55,1,337
2023,2,2,4,2/2/2023 0:00,WN,19393,N287WN,333,10821,1082106,30852,BWI,"Baltimore, MD",MD,Maryland,14027,1402702,34027,PBI,"West Palm Beach/Palm Beach, FL",FL,Florida,1500,1507,7,7,0,1500-1559,12,1519,1733,4,1745,1737,-8,0,0,0,165,150,134,1,883
