YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED
2023,6,22,4,6/22/2023 0:00,G4,295NV,14761,1476107,34761,SFB,"Sanford, FL",FL,Florida,11823,1182304,31823,FWA,"Fort Wayne, IN",IN,Indiana,1215,1343,88,88,1,14,1357,1548,4,1431,1552,81,81,1,0
2023,6,1,4,6/1/2023 0:00,WN,N8731J,12758,1275804,32758,KOA,"Kona, HI",HI,Hawaii,14831,1483106,32457,SJC,"San Jose, CA",CA,California,1345,1342,-3,0,0,11,1353,2127,4,2150,2131,-19,0,0,0
2023,6,29,4,6/29/2023 0:00,DL,N930AT,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,North Carolina,1453,1507,14,14,0,13,1520,1631,5,1632,1636,4,4,0,0
2023,6,13,2,6/13/2023 0:00,AA,N927UW,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,Florida,11057,1105703,31057,CLT,"Charlotte, NC",NC,North Carolina,620,616,-4,0,0,19,635,810,8,826,818,-8,0,0,0
2023,6,11,7,6/11/2023 0:00,YX,N241JQ,10721,1072102,30721,BOS,"Boston, MA",MA,Massachusetts,11618,1161802,31703,EWR,"Newark, NJ",NJ,New Jersey,1725,1721,-4,0,0,24,1745,1835,15,1900,1850,-10,0,0,0
2023,6,19,1,6/19/2023 0:00,NK,N923NK,12892,1289208,32575,LAX,"Los Angeles, CA",CA,California,12889,1288904,32211,LAS,"Las Vegas, NV",NV,Nevada,855,851,-4,0,0,24,915,958,7,1017,1005,-12,0,0,0
2023,6,15,4,6/15/2023 0:00,F9,N311FR,14100,1410005,34100,PHL,"Philadelphia, PA",PA,Pennsylvania,14027,1402702,34027,PBI,"West Palm Beach/Palm Beach, FL",FL,Florida,934,1026,52,52,1,45,1111,1323,6,1216,1329,73,73,1,0
2023,6,26,1,6/26/2023 0:00,DL,N353NB,10994,1099402,30994,CHS,"Charleston, SC",SC,South Carolina,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,600,,,,,,,,,755,,,,,1
2023,6,7,3,6/7/2023 0:00,UA,N14230,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,14679,1467903,33570,SAN,"San Diego, CA",CA,California,1918,1919,1,1,0,14,1933,2026,2,2040,2028,-12,0,0,0
2023,6,1,4,6/1/2023 0:00,AS,N562AS,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,Arizona,10299,1029906,30299,ANC,"Anchorage, AK",AK,Alaska,1910,1904,-6,0,0,14,1918,2321,9,2355,2330,-25,0,0,0
2023,6,15,4,6/15/2023 0:00,UA,N66893,13930,1393008,30977,ORD,"Chicago, IL",IL,Illinois,14683,1468305,33214,SAT,"San Antonio, TX",TX,Texas,1953,1949,-4,0,0,12,2001,2226,3,2246,2229,-17,0,0,0
2023,6,16,5,6/16/2023 0:00,OO,N616UX,14771,1477104,32457,SFO,"San Francisco, CA",CA,California,11638,1163807,31638,FAT,"Fresno, CA",CA,California,1833,1839,6,6,0,16,1855,1931,5,1933,1936,3,3,0,0
2023,6,2,5,6/2/2023 0:00,OO,N299SY,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,Utah,12003,1200305,31895,GTF,"Great Falls, MT",MT,Montana,1000,951,-9,0,0,20,1011,1117,2,1143,1119,-24,0,0,0
2023,6,27,2,6/27/2023 0:00,AA,N915NN,11057,1105703,31057,CLT,"Charlotte, NC",NC,North Carolina,10529,1052907,30529,BDL,"Hartford, CT",CT,Connecticut,1847,1841,-6,0,0,11,1852,2026,5,2043,2031,-12,0,0,0
2023,6,17,6,6/17/2023 0:00,DL,N841MH,13204,1320402,31454,MCO,"Orlando, FL",FL,Florida,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,1626,1901,155,155,1,29,1930,2033,31,1817,2104,167,167,1,0
2023,6,24,6,6/24/2023 0:00,YX,N758YX,11618,1161802,31703,EWR,"Newark, NJ",NJ,New Jersey,10257,1025702,30257,ALB,"Albany, NY",NY,New York,2219,,,,,,,,,2328,,,,,1
2023,6,4,7,6/4/2023 0:00,UA,N75851,14771,1477104,32457,SFO,"San Francisco, CA",CA,California,13930,1393008,30977,ORD,"Chicago, IL",IL,Illinois,2353,2355,2,2,0,26,21,613,12,611,625,14,14,0,0
2023,6,5,1,6/5/2023 0:00,WN,N7730A,12278,1227805,30928,ICT,"Wichita, KS",KS,Kansas,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,650,646,-4,0,0,11,657,702,6,715,708,-7,0,0,0
2023,6,22,4,6/22/2023 0:00,WN,N8809L,15304,1530402,33195,TPA,"Tampa, FL",FL,Florida,15016,1501606,31123,STL,"St. Louis, MO",MO,Missouri,1935,2047,72,72,1,16,2103,2206,5,2055,2211,76,76,1,0
2023,6,18,7,6/18/2023 0:00,YX,N437YX,11278,1127805,30852,DCA,"Washington, DC",VA,Virginia,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,819,812,-7,0,0,21,833,957,15,1022,1012,-10,0,0,0
